date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:40:06	2801/2801	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2013:40:06%20GMT	http://www.tivodart.narod.ru/stus.html	C:/Users/epino/Downloads/ti/www.tivodart.narod.ru/stus.html	(from http://www.tivodart.narod.ru/gallery.html)
15:40:06	8799/8799	---M--	200	added ('OK')	image/jpeg	etag:%22515e2c84-225f%22	http://www.tivodart.narod.ru/psi2.jpg	C:/Users/epino/Downloads/ti/www.tivodart.narod.ru/psi2.jpg	(from http://www.tivodart.narod.ru/gallery.html)
15:40:06	8908/8908	---M--	200	added ('OK')	image/jpeg	etag:%22515e2ca2-22cc%22	http://www.tivodart.narod.ru/stus1.jpg	C:/Users/epino/Downloads/ti/www.tivodart.narod.ru/stus1.jpg	(from http://www.tivodart.narod.ru/gallery.html)
15:40:07	2565/2565	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2013:40:07%20GMT	http://www.tivodart.narod.ru/pustinia.html	C:/Users/epino/Downloads/ti/www.tivodart.narod.ru/pustinia.html	(from http://www.tivodart.narod.ru/gallery.html)
15:40:07	12768/12768	---M--	200	added ('OK')	image/jpeg	etag:%22515e2c86-31e0%22	http://www.tivodart.narod.ru/pustinia1.jpg	C:/Users/epino/Downloads/ti/www.tivodart.narod.ru/pustinia1.jpg	(from http://www.tivodart.narod.ru/gallery.html)
15:40:07	2847/2847	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2013:40:07%20GMT	http://www.tivodart.narod.ru/sutra.html	C:/Users/epino/Downloads/ti/www.tivodart.narod.ru/sutra.html	(from http://www.tivodart.narod.ru/gallery.html)
15:40:08	6141/6141	---M--	200	added ('OK')	image/jpeg	etag:%22515e2ca2-17fd%22	http://www.tivodart.narod.ru/sutra1.jpg	C:/Users/epino/Downloads/ti/www.tivodart.narod.ru/sutra1.jpg	(from http://www.tivodart.narod.ru/gallery.html)
15:40:08	2652/2652	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2013:40:08%20GMT	http://www.tivodart.narod.ru/japan.html	C:/Users/epino/Downloads/ti/www.tivodart.narod.ru/japan.html	(from http://www.tivodart.narod.ru/gallery.html)
15:40:08	5044/5044	---M--	200	added ('OK')	image/jpeg	etag:%22515e2c6a-13b4%22	http://www.tivodart.narod.ru/ju1.jpg	C:/Users/epino/Downloads/ti/www.tivodart.narod.ru/ju1.jpg	(from http://www.tivodart.narod.ru/gallery.html)
15:40:09	2503/2503	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2013:40:09%20GMT	http://www.tivodart.narod.ru/e2.html	C:/Users/epino/Downloads/ti/www.tivodart.narod.ru/e2.html	(from http://www.tivodart.narod.ru/gallery.html)
